Time,Seconds,Minutes,Days,,Bin 2,Bin 3,Bin 4,Bin 2,Bin 3,Bin 4,Bin 2,Bin 3,Bin 4
15120,,3.79487422302601E+017,,,,,,2.76032113783146E+017,8.51329090123286E+016,842102070329620,,,
15552,3.83720447137783E+017,,,,2.78173147659786E+017,8.59892327028032E+016,845043460790525,,,,,,
16800,,3.87393746441643E+017,,,,,,2.78918725487525E+017,8.61952033084227E+016,852986294516357,,,
17280,3.91616034143582E+017,,,,2.81024920785718E+017,8.70332871343315E+016,855729174674349,,,,,,
18480,,3.94338275800108E+017,,,,,,2.81348691682283E+017,8.70630469919254E+016,861779642847302,,,
19008,3.98548405994872E+017,,,,2.834313940836E+017,8.78844697189039E+016,864310216158801,,,,,,
20160,,4.00517582505216E+017,,,,,,2.83451524097439E+017,8.77821130993621E+016,868885066652433,,,
20736,4.04715364342244E+017,,,,2.85517801790411E+017,8.85881727364236E+016,871202151140422,,,,,,
21840,,4.06075890771247E+017,,,,,,2.85307985335012E+017,8.83843476108663E+016,874626929727031,,,
22464,4.10261791331895E+017,,,,2.87361931859594E+017,8.91761337382281E+016,876737741235952,,,,,,
23520,,4.11121758140162E+017,,,,,,2.86970428373912E+017,8.88929199782248E+016,879267004780971,,,
24192,4.15296584302935E+017,,,,2.89014219069395E+017,8.96713884155531E+016,881183991168479,,,,,,
25200,,4.15738675122461E+017,,,,,,2.88474339527848E+017,8.93251869049384E+016,883016738132782,,,
25920,4.19903387174557E+017,,,,2.90508989707815E+017,9.00912131573288E+016,884755290222520,,,,,,
26880,,4.19992034464529E+017,,,,,,2.89844943712968E+017,8.96945125970022E+016,886046977025073,,,
27648,4.24147632024372E+017,,,,2.91870814025572E+017,9.04489231785962E+016,887623820020838,,,,,,
28560,,4.23933854510846E+017,,,,,,2.9110102523395E+017,9.00114198882819E+016,888495779350969,,,
29376,4.28081305103025E+017,,,,2.93118140328366E+017,9.07550072930445E+016,889927874688655,,,,,,
30240,,4.27606069031869E+017,,,,,,2.92257170278196E+017,9.02843423808068E+016,890474710663687,,,
31104,4.3174626380913E+017,,,,2.94265409826185E+017,9.10178699467824E+016,891778533169500,,,,,,
31920,,4.31042875548253E+017,,,,,,2.93325109011794E+017,9.05201332418057E+016,892073928984632,,,
32832,4.35176603378312E+017,,,,2.9532431594374E+017,9.12443347176127E+016,893265015714485,,,,,,
33600,,4.34272448631587E+017,,,,,,2.94314539538664E+017,9.07244215474951E+016,893366292854045,,,
34560,4.38400383042256E+017,,,,2.96304576828584E+017,9.14399985112452E+016,894458985552613,,,,,,
35280,,4.37318214134137E+017,,,,,,2.95233650149277E+017,9.09018701393845E+016,894410680833734,,,
36288,4.41440909325265E+017,,,,2.97214426890616E+017,9.16094890909472E+016,895418003867345,,,,,,
36960,,4.40199812806834E+017,,,,,,2.96089463045418E+017,9.10563677032003E+016,895254673986510,,,
38016,4.44317705951176E+017,,,,2.98060943010822E+017,9.17566577393545E+016,896188304842245,,,,,,
38640,,4.42933839574418E+017,,,,,,2.96888070165411E+017,9.1191175399252E+016,895936723624011,,,
39744,4.47047257315431E+017,,,,2.98850270963372E+017,9.18847268190861E+016,896807024613620,,,,,,
40320,,4.45534417752145E+017,,,,,,2.97634802003566E+017,9.13090410511505E+016,896487903105403,,,
41472,4.4964358531973E+017,,,,2.99587789659175E+017,9.19964049252414E+016,897303991601907,,,,,,
42000,,4.48013649833315E+017,,,,,,2.98334353424481E+017,9.14122894860484E+016,896933323503062,,,
43200,4.52118701602063E+017,,,,3.00278235152565E+017,9.20939780695197E+016,897703164537581,,,,,,
43680,,4.50381974664673E+017,,,,,,2.9899088081435E+017,9.15028948955094E+016,897293277632996,,,
44928,4.54482965299859E+017,,,,3.00925797497555E+017,9.21793827070583E+016,898023787509186,,,,,,
45360,,4.52648452750955E+017,,,,,,2.99608079341647E+017,9.15825393576274E+016,897584164571135,,,
46656,4.56745368340382E+017,,,,3.01534198481143E+017,9.22542647408951E+016,898281317719112,,,,,,
47040,,4.54820995794367E+017,,,,,,3.00189245850173E+017,9.16526605297664E+016,897819236775462,,,
48384,4.58913764559738E+017,,,,3.02106755327862E+017,9.23200275330117E+016,898488170673822,,,,,,
48720,,4.56906552566744E+017,,,,,,3.00737330981944E+017,9.17144907563938E+016,898009203852020,,,
50112,4.60995054896477E+017,,,,3.02646433735809E+017,9.23778711956787E+016,898654318734218,,,,,,
50400,,4.58911260312087E+017,,,,,,3.01254982962959E+017,9.17690893023383E+016,898162720471646,,,
51840,4.62995337966831E+017,,,,3.03155892553208E+017,9.24288249038574E+016,898787771882189,,,,,,
52080,,4.6084056874614E+017,,,,,,3.01744584762594E+017,9.18173690374423E+016,898286780666329,,,
53568,4.64920033167272E+017,,,,3.03637521747626E+017,9.24737735821273E+016,898894963881066,,,,,,
