Time,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6
397440,5.550344529388739e+17,3.2480276163241824e+17,9.323577181249326e+16,899332497081835.9,0,0
399168,5.552182151597125e+17,3.248790319099848e+17,9.323851636772379e+16,899332497081835.9,0,0
400896,5.5540155357007226e+17,3.2495533522464026e+17,9.324126257979064e+16,899332497081835.9,0,0
402624,5.5558447235564736e+17,3.2503167077248877e+17,9.324401040874394e+16,899332497081835.9,0,0
404352,5.557669756166738e+17,3.251080377512533e+17,9.324675981499112e+16,899332497081835.9,0,0
406080,5.559490673700583e+17,3.2518443536045357e+17,9.324951075929386e+16,899332497081835.9,0,0
407808,5.5613075155145e+17,3.252608628015746e+17,9.32522632027635e+16,899332497081835.9,0,0
409536,5.5631203201725126e+17,3.253373192782333e+17,9.325501710686232e+16,899332497081835.9,0,0
411264,5.564929125465723e+17,3.2541380399632986e+17,9.325777243339827e+16,899332497081835.9,0,0
412992,5.566733968431281e+17,3.254903161641943e+17,9.326052914452101e+16,899332497081835.9,0,0
414720,5.568534885370846e+17,3.2556685499272774e+17,9.326328720272003e+16,899332497081835.9,0,0
416448,5.570331911868521e+17,3.25643419695534e+17,9.326604657082178e+16,899332497081835.9,0,0
418176,5.5721250828082643e+17,3.257200094890479e+17,9.326880721198688e+16,899332497081835.9,0,0
419904,5.5739144323908544e+17,3.257966235926528e+17,9.327156908970736e+16,899332497081835.9,0,0
421632,5.5756999941503296e+17,3.258732612287969e+17,9.327433216780392e+16,899332497081835.9,0,0
423360,5.5774818009700243e+17,3.2594992162309997e+17,9.327709641042312e+16,899332497081835.9,0,0
425088,5.579259885098115e+17,3.2602660400445645e+17,9.327986178203472e+16,899332497081835.9,0,0
426816,5.581034278162773e+17,3.261033076051323e+17,9.328262824742902e+16,899332497081835.9,0,0
428544,5.582805011186882e+17,3.261800316608565e+17,9.32853957717141e+16,899332497081835.9,0,0
430272,5.584572114602361e+17,3.2625677541090944e+17,9.328816432031328e+16,899332497081835.9,0,0
432000,5.5863356182640723e+17,3.263335380982032e+17,9.329093385896242e+16,899332497081835.9,0,0
433728,5.5880955514633837e+17,3.2641031896936134e+17,9.329370435370736e+16,899332497081835.9,0,0
435456,5.58985194294136e+17,3.264871172747902e+17,9.329647577090133e+16,899332497081835.9,0,0
437184,5.5916048209015686e+17,3.265639322687484e+17,9.329924807720234e+16,899332497081835.9,0,0
438912,5.5933542130225485e+17,3.2664076320941286e+17,9.330202123957074e+16,899332497081835.9,0,0
440640,5.5951001464699834e+17,3.267176093589384e+17,9.330479522526664e+16,899332497081835.9,0,0
442368,5.5968426479085075e+17,3.2679446998351584e+17,9.33075700018474e+16,899332497081835.9,0,0
444096,5.5985817435131955e+17,3.2687134435342566e+17,9.331034553716518e+16,899332497081835.9,0,0
445824,5.600317458980778e+17,3.269482317430879e+17,9.331312179936451e+16,899332497081835.9,0,0
447552,5.602049819540524e+17,3.2702513143110925e+17,9.33158987568798e+16,899332497081835.9,0,0
449280,5.603778849964886e+17,3.271020427003277e+17,9.331867637843298e+16,899332497081835.9,0,0
451008,5.605504574579798e+17,3.271789648378514e+17,9.332145463303102e+16,899332497081835.9,0,0
452736,5.6072270172747546e+17,3.272558971350981e+17,9.332423348996368e+16,899332497081835.9,0,0
454464,5.6089462015126304e+17,3.273328388878299e+17,9.332701291880101e+16,899332497081835.9,0,0
456192,5.6106621503392006e+17,3.2740978939618477e+17,9.332979288939115e+16,899332497081835.9,0,0
457920,5.612374886392445e+17,3.27486747964707e+17,9.33325733718579e+16,899332497081835.9,0,0
459648,5.614084431911624e+17,3.275637139023741e+17,9.333535433659853e+16,899332497081835.9,0,0
461376,5.615790808746089e+17,3.2764068652262176e+17,9.333813575428138e+16,899332497081835.9,0,0
463104,5.617494038363891e+17,3.2771766514336614e+17,9.334091759584368e+16,899332497081835.9,0,0
464832,5.6191941418601504e+17,3.277946490870254e+17,9.334369983248933e+16,899332497081835.9,0,0
466560,5.620891139965234e+17,3.27871637680536e+17,9.334648243568658e+16,899332497081835.9,0,0
468288,5.622585053052714e+17,3.279486302553705e+17,9.334926537716592e+16,899332497081835.9,0,0
470016,5.624275901147131e+17,3.2802562614755174e+17,9.335204862891781e+16,899332497081835.9,0,0
471744,5.6259637039315424e+17,3.281026246976645e+17,9.335483216319061e+16,899332497081835.9,0,0
473472,5.627648480754929e+17,3.281796252508674e+17,9.335761595248832e+16,899332497081835.9,0,0
475200,5.6293302506393574e+17,3.2825662715690054e+17,9.336039996956854e+16,899332497081835.9,0,0
476928,5.631009032286999e+17,3.283336297700941e+17,9.33631841874403e+16,899332497081835.9,0,0
