Time,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6
2156,5.0860277435924954e+17,3.1152373596366426e+17,9.224515680635931e+16,898809249989169.6,0,0
2184,5.0917167434160794e+17,3.11624176486301e+17,9.224698857843872e+16,898809255548906.8,0,0
2212,5.097300400033429e+17,3.1172290767076115e+17,9.22488128408352e+16,898809260041853.9,0,0
2240,5.102781999751053e+17,3.1182001297475885e+17,9.225063178018512e+16,898809263672704.4,0,0
2268,5.108164711556171e+17,3.1191557186297075e+17,9.225244733280357e+16,898809266606875.5,0,0
2296,5.113451591934687e+17,3.1200966001853376e+17,9.225426121190362e+16,898809268978044.4,0,0
2324,5.1186455894453325e+17,3.1210234954126144e+17,9.225607493185664e+16,898809270894238.9,0,0
2352,5.1237495490662784e+17,3.121937091335872e+17,9.225788982981667e+16,898809272442758.1,0,0
2380,5.1287662163289766e+17,3.122838042751603e+17,9.22597070849976e+16,898809273694150.9,0,0
2408,5.1336982412528525e+17,3.123726973869339e+17,9.226152773585866e+16,898809274705429.1,0,0
2436,5.138548182093252e+17,3.124604479855079e+17,9.226335269542634e+16,898809275522665.8,0,0
2464,5.143318508914074e+17,3.125471128284325e+17,9.22651827649558e+16,898809276183092.8,0,0
2492,5.1480116069955456e+17,3.1263274605110534e+17,9.226701864611251e+16,898809276716798.5,0,0
2520,5.1526297800869325e+17,3.127173992958516e+17,9.226886095183402e+16,898809277148098.1,0,0
2548,5.157175253512975e+17,3.128011218337222e+17,9.227071021601677e+16,898809277496640.8,0,0
2576,5.1616501771424486e+17,3.128839606795044e+17,9.22725669021538e+16,898809277778305.9,0,0
2604,5.166056628226414e+17,3.1296596070039334e+17,9.227443141103837e+16,898809278005925.8,0,0
2632,5.170396614113327e+17,3.130471647187435e+17,9.227630408763405e+16,898809278189870.4,0,0
2660,5.174672074847556e+17,3.1312761360928237e+17,9.227818522720178e+16,898809278338520.0,0,0
2688,5.1788848856575104e+17,3.1320734639114003e+17,9.22800750807643e+16,898809278458647.4,0,0
2716,5.183036859339039e+17,3.1328640031501984e+17,9.228197385997987e+16,898809278555724.9,0,0
2744,5.1871297485395283e+17,3.1336481094581203e+17,9.228388174148885e+16,898809278634175.4,0,0
2772,5.191165247947614e+17,3.1344261224092986e+17,9.22857988707904e+16,898809278697572.9,0,0
2800,5.1951449963932365e+17,3.1351983662462496e+17,9.228772536570005e+16,898809278748805.9,0,0
2828,5.199070578862417e+17,3.135965150585247e+17,9.228966131943328e+16,898809278790208.4,0,0
2856,5.2029435284308256e+17,3.1367267710860896e+17,9.229160680335578e+16,898809278823666.6,0,0
2884,5.206765328120079e+17,3.137483510088395e+17,9.229356186943618e+16,898809278850705.1,0,0
2912,5.210537412680305e+17,3.138235637216287e+17,9.229552655243352e+16,898809278872555.4,0,0
2940,5.2142611703024774e+17,3.138983409953298e+17,9.229750087184803e+16,898809278890213.2,0,0
2968,5.2179379442636934e+17,3.139727074189167e+17,9.229948483366075e+16,898809278904482.9,0,0
2996,5.221569034508456e+17,3.14046686474006e+17,9.230147843188486e+16,898809278916014.5,0,0
3024,5.225155699168797e+17,3.141203005843706e+17,9.230348164994904e+16,898809278925333.5,0,0
3052,5.228699156026008e+17,3.141935711630789e+17,9.230549446193093e+16,898809278932864.4,0,0
3080,5.2322005839165056e+17,3.142665186573891e+17,9.230751683365683e+16,898809278938950.2,0,0
3108,5.2356611240842586e+17,3.1433916259151526e+17,9.230954872368219e+16,898809278943868.4,0,0
3136,5.2390818814820934e+17,3.1441152160738214e+17,9.23115900841658e+16,898809278947842.6,0,0
3164,5.242463926024071e+17,3.14483613503468e+17,9.231364086164867e+16,898809278951054.4,0,0
3192,5.2458082937909555e+17,3.145554552718407e+17,9.231570099774886e+16,898809278953649.9,0,0
3220,5.249115988190818e+17,3.14627063133474e+17,9.23177704297801e+16,898809278955747.5,0,0
3248,5.2523879810765677e+17,3.146984525719367e+17,9.231984909130338e+16,898809278957442.5,0,0
3276,5.255625213822232e+17,3.147696383655333e+17,9.232193691261835e+16,898809278958812.4,0,0
3304,5.2588285983596864e+17,3.1484063461797645e+17,9.232403382120117e+16,898809278959919.4,0,0
3332,5.2619990181773914e+17,3.14911454787662e+17,9.232613974209418e+16,898809278960813.9,0,0
3360,5.2651373292827104e+17,3.149821117156174e+17,9.232825459825323e+16,898809278961536.9,0,0
3388,5.268244361129285e+17,3.15052617652189e+17,9.233037831085678e+16,898809278962121.1,0,0
3416,5.271320917510807e+17,3.1512298428252774e+17,9.233251079958102e+16,898809278962593.1,0,0
3444,5.274367777422558e+17,3.1519322275093344e+17,9.23346519828446e+16,898809278962974.6,0,0
3472,5.277385695892006e+17,3.152633436841112e+17,9.23368017780266e+16,898809278963283.0,0,0
3500,5.280375404779577e+17,3.153333572133945e+17,9.233896010165995e+16,898809278963532.1,0,0
3528,5.283337613550899e+17,3.154032729959808e+17,9.234112686960379e+16,898809278963733.4,0,0
3556,5.2862730100214925e+17,3.1547310023522944e+17,9.23433019971963e+16,898809278963896.1,0,0
3584,5.289182261075059e+17,3.155428477000643e+17,9.234548539939053e+16,898809278964027.6,0,0
3612,5.292066013356341e+17,3.156125237435247e+17,9.234767699087499e+16,898809278964133.9,0,0
3640,5.294924893939521e+17,3.1568213632050214e+17,9.234987668618066e+16,898809278964219.8,0,0
3668,5.297759510973103e+17,3.1575169300470336e+17,9.235208439977552e+16,898809278964289.1,0,0
3696,5.300570454302157e+17,3.158212010048733e+17,9.235430004614891e+16,898809278964345.2,0,0
3724,5.303358296068775e+17,3.158906671803136e+17,9.235652353988539e+16,898809278964390.5,0,0
3752,5.3061235912915814e+17,3.159600980557284e+17,9.235875479573078e+16,898809278964427.1,0,0
3780,5.308866878425011e+17,3.160294998354278e+17,9.236099372864986e+16,898809278964456.8,0,0
3808,5.311588679899214e+17,3.1609887841691814e+17,9.23632402538778e+16,898809278964480.8,0,0
3836,5.314289502641193e+17,3.1616823940390944e+17,9.236549428696482e+16,898809278964500.1,0,0
3864,5.316969838577937e+17,3.1623758811876115e+17,9.236775574381618e+16,898809278964515.6,0,0
3892,5.3196301651222e+17,3.1630692961439846e+17,9.237002454072666e+16,898809278964528.4,0,0
3920,5.3222709456415514e+17,3.163762686857156e+17,9.237230059441099e+16,898809278964538.4,0,0
3948,5.3248926299112806e+17,3.164456098804946e+17,9.237458382203048e+16,898809278964546.8,0,0
3976,5.327495654551821e+17,3.16514957509859e+17,9.237687414121605e+16,898809278964553.4,0,0
4004,5.330080443451185e+17,3.1658431565828384e+17,9.237917147008835e+16,898809278964558.6,0,0
4032,5.3326474081729594e+17,3.1665368819317875e+17,9.238147572727502e+16,898809278964563.1,0,0
4060,5.335196948350423e+17,3.167230787740689e+17,9.238378683192562e+16,898809278964566.6,0,0
4088,5.3377294520672576e+17,3.167924908613856e+17,9.23861047037244e+16,898809278964569.4,0,0
4116,5.3402452962253306e+17,3.1686192772488736e+17,9.238842926290094e+16,898809278964571.6,0,0
4144,5.3427448469000006e+17,3.169313924517252e+17,9.239076043023952e+16,898809278964573.6,0,0
4172,5.34522845968345e+17,3.170008879541708e+17,9.23930981270864e+16,898809278964574.8,0,0
4200,5.347696480016382e+17,3.170704169770194e+17,9.239544227535627e+16,898809278964575.9,0,0
4228,5.350149243508583e+17,3.17139982104682e+17,9.239779279753702e+16,898809278964577.1,0,0
4256,5.352587076248674e+17,3.172095857679828e+17,9.240014961669392e+16,898809278964578.1,0,0
4284,5.355010295103488e+17,3.172792302506711e+17,9.240251265647238e+16,898809278964578.6,0,0
4312,5.357419208007385e+17,3.173489176956625e+17,9.240488184110024e+16,898809278964578.6,0,0
4340,5.359814114241926e+17,3.1741865011102074e+17,9.240725709538915e+16,898809278964578.6,0,0
4368,5.3621953047061734e+17,3.174884293756898e+17,9.240963834473512e+16,898809278964578.6,0,0
4396,5.364563062177998e+17,3.1755825724498963e+17,9.24120255151189e+16,898809278964578.6,0,0
4424,5.366917661566695e+17,3.1762813535588256e+17,9.24144185331054e+16,898809278964578.6,0,0
4452,5.36925937015718e+17,3.1769806523202304e+17,9.241681732584288e+16,898809278964578.6,0,0
4480,5.3715884478461184e+17,3.1776804828859744e+17,9.241922182106181e+16,898809278964578.6,0,0
4508,5.3739051473702125e+17,3.1783808583696614e+17,9.242163194707304e+16,898809278964578.6,0,0
4536,5.3762097145269414e+17,3.179081790891114e+17,9.242404763276608e+16,898809278964578.6,0,0
4564,5.378502388388055e+17,3.179783291619044e+17,9.242646880760669e+16,898809278964578.6,0,0
