Isotope,Branching Frac.,Half Life,Gamma Emitter (Y/N),Max Significant Gamma Energy (MeV),Gamma Frequency,Decay Product,Branching Frac.,Half Life,Gamma Emitter,Max Significant Gamma Energy (MeV),Gamma Frequency,Daughter Decay Product,Branching Frac.,Half Life,Gamma Emitter,Max Significant Gamma Energy (MeV),Gamma Frequency,Daughter Decay Product,Branching Frac.,Half Life,Gamma Emitter,Max Significant Gamma Energy (MeV),Gamma Frequency,Daughter Decay Product,Branching Frac.,Half Life,Gamma Emitter,Max Significant Gamma Energy (MeV),Gamma Frequency,Daughter Decay Product,Branching Frc.,Half Life,Gamma Emitter,Max Significant Gamma Energy (MeV),Gamma Frequency,Daughter Decay Product,Branching Frc.,Half Life,Gamma Emitter,Max Significant Gamma Energy (MeV),Gamma Frequency,Daughter Decay Product
I-138,,6.23s,?,,,Xe-138,,14.08m,Y,"2.0158 * 0.123, 2.2523 * 0.0229, 2.0792 * 0.0144, 2.0048 * 0.0536, 1.8509 * 0.0142, 1.7683 * 0.1670, 0.4346 * 0.2030, 0.2584 * 0.3150, 0.2584*0.3150, 1.1143*0.0147",,Cs-138,,33.41m,Y,"1.4359 * 0.763, 2.6396 * 0.0763, 2.2180 * 0.1520, 1.3436 * 0.0114, 1.1472 * 0.0124, 1.0098 * 0.2980, 0.8718 * 0.0511, 0.5470 * 0.1076, 0.4628 * 0.3070",,Ba-138 (stable),,,,,,,,,,,,,,,,,,,,,,,,
I-139,,2.280s,?,,,Xe-139,,39.68s,Y,,,Cs-139,,556s,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-140,,0.86 s,Y,,,Xe-140,,13.6s,Y,,,Cs-140,,63.7s,Y,,,Ba-140,,12.752d,Y,0.5373,0.2439,La-140,,1.6781d,Y,"1.5962 * 0.954, 2.5214 * 0.0346, 0.8158 * 0.2328, 0.4870 * 0.4550, 0.3288 * 0.2030",,Ce-140 (stable),,,,,,,,,,,,
Cs-134,,2.0648 y,Y,0.7959,0.8553,Ba-134 (stable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cs-137,,30.1671y,N,,,Ba-137m,0.944,2.552m,Y,0.6617,0.9011,Ba-137(stable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cs-138,,33.41m,Y,"1.4359 * 0.763, 2.6396 * 0.0763, 2.2180 * 0.1520, 1.3436 * 0.0114, 1.1472 * 0.0124, 1.0098 * 0.2980, 0.8718 * 0.0511, 0.5470 * 0.1076, 0.4628 * 0.3070",,Ba-138 (stable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cs-139,,556s,Y,,,Ba-139,,83.06m,Y,0.1659,0.24,La-139 (stable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cs-140,,63.7s,Y,,,Ba-140,,12.752d,Y,0.5373,0.2439,La-140,,1.6781d,Y,"1.5962 * 0.954, 2.5214 * 0.0346, 0.8158 * 0.2328, 0.4870 * 0.4550, 0.3288 * 0.2030",,Ce-140 (stable),,,,,,,,,,,,,,,,,,,,,,,,
Cs-141,,24.84s,Y,,,Ba-141,,18.27m,Y,"1.6820 * 0.0170, 1.1970 * 0.048, 1.1610 * 0.0110, 0.8763 * 0.0370, 0.7392 * 0.0480, 0.6481 * 0.0630, 0.4675 * 0.0570, 0.4623 * 0.0490, 0.3437 * 0.1440, 0.3042 * 0.2540, 0.2770 * 0.2340, 0.1903 * 0.4600",,La-141,,3.92h,Y,1.3545,0.0164,Ce-141,,32.504d,Y,0.1454,0.482,Pr-141 (stable),,,,,,,,,,,,,,,,,,
Cs-142,,1.684 s,Y,,,Ba-142,,10.6m,Y,1.2043,0.142,La-142,,91.1m,Y,"0.6413 * 0.474, 3.6327 * 0.0100, 2.9710 * 0.0313, 2.6668 * 0.0180, 2.5427 * 0.1, 2.3978 * 0.1330, 2.1872 * 0.0370, 2.1004 * 0.0104, 2.0552 * 0.0218, 2.0255 * 0.0100, 1.9013 * 0.0716, 1.7564 * 0.0270, 1.7227 * 0.0152, 1.5458 * 0.0299, 1.3630 * 0.0213, 0.8949 * 0.0834, 1.0114 * 0.0393, 1.0437 * 0.0270, 1.1602 * 0.0171, 1.2331 * 0.0190",,Ce-142 (stable),,,,,,,,,,,,,,,,,,,,,,,,
Cs-143,,1.79s,Y,,,Ba-143,,14.3s,Y,,,La-143,,14.2m,Y,"0.6203* 0.0234, 0.6438*0.0155, 0.7981*0.0118, 1.1485*0.0116,1.9614*0.0101",,Ce-143,1,33.039h,Y,"0.2933*0.428, 0.7219*0.0539",,,,,,,,,,,,,,,,,,,,
Cs-144,,0.99s,Y,,,Ba-144,,11.4s,Y,,,La-144,,40.7s,Y,,,Ce-144,,284.91d,Y,,,Pr-144,0.99,17.28m,Y,"0.6965*0.0134, 2.1857*0.0069",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Pr-144m,0.00977,7.2m,Y,"0.059*.0008, 1.8853*0.0001",,Pr-144,0.999,17.28m,Y,"0.6965*0.0134, 2.1857*0.0069",,,,,,,,
Sr-89,,50.53d,Y,0.909,0.0001,Y-89(stable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr-91,,9.63h,Y,1.0243,0.335,Y-91m,0.582,49.71m,Y,0.5556,0.95,Y-91,1,58.51d,Y,1.2048,0.0026,Zr-91(stable),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Y-91,0.418,58.51d,Y,1.2048,0.0026,Zr-91(stable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr-92,,2.66h,Y,1.3839,0.9,Y-92,1,3.54h,Y,"0.9345 * 0.139, 1.4054 * 0.0480, 0.8443 * 0.0125, 0.5611 * 0.0240, 0.4485 * 0.0230",,Zr-92(stable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr-93,,7.423m,Y,,,Y-93,1,10.18h,Y,"1.9178 * 0.0154, 0.9471 * 0.0210, 0.2669 * 0.0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr-94,,75.3s,Y,,,Y-94,,18.7m,Y,0.9187,0.56,Zr-94(stable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr-95,,25.1s,Y,,,Y-95,,10.3m,Y,"0.954*0.158, 1.324*0.049, 2.1756*0.07, 3.576*0.064",,Zr-95,,64.02d,Y,"0.7242*.4417, 0.7567*0.5546",,Nb-95,0.989,34.991d,Y,0.7658,0.9981,Mo-95(stable),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Nb-95m,0.0108,3.61d,Y,0.2357,0.249,Nb-95 ,0.944,34.991d,Y,0.7658,0.9981,Mo-95(stable),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Mo-95(stable),0.056,,,,,,,,,,,,,,,,,
Sr-96,,1.07s,Y,,,Y-96,,5.3s,Y,,,Zr-96(stable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr-97,,0.43s,Y,,,Y-97,,3.76s,Y,,,Zr-97,,16.744h,Y,"0.5076*0.0503, 1.3624*.0102, 1.7502*0.0109",,Nb-97,,72.1m,Y,0.6579,0.9823,Mo-97(stable),,,,,,,,,,,,,,,,,,
Sr-98,,0.65s,Y,,,Y-98,,0.59s,Y,,,Zr-98,,30.7s,N,,,Nb-98,,2.9s,Y,,,Mo-98(stable),,,,,,,,,,,,,,,,,,
